id,Volcano_Number,Volcano_Name,Eruption_Number,Activity_Type,ExplosivityIndexMax,ExplosivityIndexModifier,ActivityArea,ActivityUnit,StartEvidenceMethod,StartDateYearModifier,StartDateYear,StartDateYearUncertainty,StartDateDayModifier,StartDateMonth,StartDateDay,StartDateDayUncertainty,EndDateYearModifier,EndDateYear,EndDateYearUncertainty,EndDateDayModifier,EndDateMonth,EndDateDay,EndDateDayUncertainty,x_coordinate,y_coordinate
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b6,333010,Teahitia,10299,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1982,,,3.0,16.0,,,1982.0,,,5.0,19.0,,-148.821,-17.564
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b7,333010,Teahitia,10300,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1983,,,7.0,12.0,,,1983.0,,,7.0,26.0,,-148.821,-17.564
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b8,333010,Teahitia,10301,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1983,,,12.0,18.0,,,1984.0,,,7.0,14.0,,-148.821,-17.564
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35b9,333010,Teahitia,10302,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1985,,,1.0,10.0,,,1985.0,,,1.0,25.0,,-148.821,-17.564
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35ba,333020,Rocard,10256,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1971,,,9.0,6.0,,,,,,,,,-148.586,-17.662
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35bb,333020,Rocard,10303,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1966,,,3.0,9.0,,,1966.0,,,3.0,20.0,,-148.586,-17.662
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35bc,333020,Rocard,10304,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1972,,,7.0,4.0,,,1972.0,,,7.0,19.0,,-148.586,-17.662
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35bd,333030,Moua Pihaa,10305,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1969,,,4.0,22.0,,,1969.0,,,4.0,29.0,,-148.525,-18.325
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35be,333030,Moua Pihaa,10306,Confirmed Eruption,0.0,,,,Observations: Hydrophonic,,1970,,,6.0,21.0,,,1970.0,,,6.0,23.0,,-148.525,-18.325
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35bf,333040,Mehetia,10307,Uncertain Eruption,0.0,,SE of Mehetia (-1700 m?),,,,1981,,,3.0,5.0,,,1981.0,,,12.0,16.0,15.0,-148.068,-17.874
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35c0,333050,Adams Seamount,10308,Confirmed Eruption,0.0,,,,Isotopic: K/Ar,,-5050,1000.0,,0.0,0.0,,,,,,,,,-129.27,-25.37
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35c1,333050,Adams Seamount,10309,Confirmed Eruption,0.0,,,,Isotopic: K/Ar,,-4050,2000.0,,0.0,0.0,,,,,,,,,-129.27,-25.37
Smithsonian_VOTW_Holocene_Eruptions.fid-66f9dc1b_19a103c682a_35c2,333050,Adams Seamount,10310,Confirmed Eruption,0.0,,,,Isotopic: K/Ar,,-1050,1000.0,,0.0,0.0,,,,,,,,,-129.27,-25.37
