gid,geom,pop,volcano_id,source,buffer_km
30065230,POINT (125.46249877815002 3.629166988149997),73,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065229,POINT (125.45416544485002 3.6291669881499966),259,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065232,POINT (125.47916544475005 3.629166988149997),304,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065231,POINT (125.47083211145004 3.629166988149997),34,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065233,POINT (125.48749877805002 3.6291669881499966),914,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30065234,POINT (125.49583211135001 3.629166988149997),7,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061169,POINT (125.42083211165001 3.645833654749999),280,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061168,POINT (125.41249877835004 3.6458336547499997),15,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061170,POINT (125.42916544495 3.6458336547499997),44,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061175,POINT (125.49583211135001 3.6458336547499997),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061174,POINT (125.48749877805002 3.645833654749999),9,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061172,POINT (125.44583211155003 3.6458336547499997),14,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30061171,POINT (125.43749877825002 3.6458336547499997),3,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059107,POINT (125.41249877835004 3.654166988049994),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059112,POINT (125.48749877805002 3.654166988049994),1,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
30059111,POINT (125.47083211145002 3.654166988049994),10,Smithsonian_VOTW_Holocene_Volcanoes.fid--4369a657_19ae909ca6b_-7ba4,unrest,30
